"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"C2";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C3";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C6";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C7";"4.7uF";"4.7UF-6.3V-10%(0603)0603";"0603-CAP";"CAP-08280";"CAP-08280";"4.7uF";
"C8";"10uF";"10UF-6.3V-20%(0603)";"0603-CAP";"CAP-11015";"CAP-11015";"10uF";
"C9";"1.0uF";"1.0UF-16V-10%(0603)";"0603-CAP";"CAP-00868";"CAP-00868";"1.0uF";
"C10";"0.1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"CAP-00810";"CAP-00810";"0.1uF";
"I2C";"";"M02PTH";"1X02";"Header 2";"";"";
"J1";"AVR_SPI_PRG_6PTH";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";
"JP1";"M10"";"M10"";"1X10";"Header 10";"";"";
"JP2";"M10"";"M10"";"1X10";"Header 10";"";"";
"JP3";"USB_MICROB_PLUGCONN-11752";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"USB Micro-B connecto";"CONN-11752";"";
"LED1";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"LED2";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED3";"Green";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LED4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"LED5";"GREEN";"LED-GREEN0603";"LED-0603";"Various green LEDs";"DIO-00821";"GREEN";
"LED6";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LEDs";"DIO-09003";"";
"LED7";"RED";"LED-RED0603";"LED-0603";"Assorted Red LEDs";"DIO-00819";"RED";
"LED8";"BLUE";"LED-BLUE0603";"LED-0603";"Blue LEDs for produc";"DIO-08575";"BLUE";
"LED12";"";"M02PTH";"1X02";"Header 2";"";"";
"LED34";"";"M02PTH";"1X02";"Header 2";"";"";
"LOGO1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"Open Source Hardware";"";"";
"R1";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R2";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R3";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R4";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R6";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"22";
"R7";"22";"22OHM1/10W1%(0603)";"0603-RES";"RES-08698";"RES-08698";"22";
"R8";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"RES-00824";"10K";
"R9";"2.0k";"2.0KOHM1/10W5%(0603)";"0603-RES";"RES-08296";"RES-08296";"2.0k";
"R10";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"R11";"470";"470OHM1/10W1%(0603)";"0603-RES";"RES-07869";"RES-07869";"470";
"R12";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R13";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R14";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R15";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R16";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"R17";"330";"330OHM1/10W1%(0603)";"0603-RES";"RES-00818";"RES-00818";"330";
"S1";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches-";"SWCH-09185";"";
"S2";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches-";"SWCH-09185";"";
"S3";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches-";"SWCH-09185";"";
"S4";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"Various NO switches-";"SWCH-09185";"";
"S5";"Reset";"SWITCH-MOMENTARY-2SMD";"TACTILE-SWITCH-SMD";"Various NO switches-";"SWCH-08247";"";
"S6";"";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"SWCH-08261";"";
"U$1";"ATMEGA32U41:1-LESS_PASTE";"ATMEGA32U41:1-LESS_PASTE";"QFN-44-NOPAD_1:1-LESS_PASTE";"Atmel 44-pin 8-bit M";"";"";
"U$2";"XBEE-1B1";"XBEE-1B1";"XBEE-1";"Xbee module footprin";"";"";
"U$3";"8MHZ";"RESONATOR8MHZ";"RESONATOR-SMD";"Resonator";"XTAL-08895";"8MHZ";
"U1";"JOYSTICKPTH";"JOYSTICKPTH";"JOYSTICK";"Thumb Joystick";"";"";
"U3";"V_REG_MIC5219SMD";"V_REG_MIC5219SMD";"SOT23-5";"V_REG MIC5219";"";"";
"U4";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cel";"IC-09995";"";
"USB_VCC";"";"M02PTH";"1X02";"Header 2";"";"";
"VBATT";"";"M02PTH";"1X02";"Header 2";"";"";
"VBATT_JST";"";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"";"";
